time (s) 	ai1 (K)	ai2 (K)	ai3 (K)	ai4 (K)	ai5 (K)	ai6 (K)	ai7 (K)	ai8 (K)	ai9 (K)
2035.35	861.897	682.3024486289	820.0424200213	682.2950893256	715.3421601065	626.545865443	753.4128617934	626.5210499239	715.3480560028
2041.5	860.89	681.5517385425	819.1422199858	681.5438902726	714.5064610832	625.8166871122	752.5219624149	625.7917505691	714.5116559318
2045.72	860.201	681.0370384774	818.5247199562	681.0296808124	713.9328617934	625.3171681953	751.9107629476	625.2925609408	713.9387558904
2051.88	859.195	680.2865383886	817.6242199266	680.2793917346	713.0974628588	624.588779829	751.0201636579	624.5639614971	713.1030558252
2058.06	858.189	679.5360382998	816.7240198911	679.5286826236	712.2617638355	623.8603914626	750.1292642794	623.8361519896	712.2676557542
2064.25	857.182	678.7852382169	815.8228198556	678.777603515	711.4260648121	623.1323729897	749.2386649896	623.1077626099	711.4319556891
2070.45	856.176	678.0347381281	814.92161982	678.026894404	710.5906658775	622.4047745878	748.3480656999	622.3801631662	710.596255624
2074.71	855.487	677.520038063	814.3038197964	677.5128950077	710.018766499	621.9058857775	747.7375661438	621.8820635628	710.0239555707
2080.93	854.481	676.7702379801	813.4029197549	676.7626059299	709.1840674756	621.1792873756	746.8479668541	621.1554641192	709.1892555056
2087.17	853.475	676.019247883	812.5007197194	676.0114068769	708.348668541	620.4524789382	745.9573675644	620.4279547004	708.3545554404
2093.42	852.469	675.2685377966	811.5995196839	675.2609077352	707.5139695176	619.7258805363	745.0677682746	619.7017752899	707.5198553753
2099.68	851.463	674.5182477054	810.6973196484	674.5104086881	706.679570583	618.9997922587	744.1778688961	618.9757558131	706.6854553043
2103.98	850.774	674.0040376486	810.0795196247	673.9961992279	706.1076712045	618.5021832886	743.56836934	618.4780762428	706.1135552628
2110.27	849.768	673.2535375598	809.1773195892	673.2459101501	705.2732722699	617.7767949222	742.6790701391	617.7529667412	705.2791551918
2116.56	848.762	672.5032474686	808.2751195536	672.495411103	704.4395732465	617.0514966091	741.7894708494	617.0276672916	704.4454551267
2122.87	847.757	671.7527473798	807.3729195181	671.7449119612	703.6058742231	616.3258982072	740.9005714708	616.3023679368	703.6110550556
2129.2	846.751	671.0020372934	806.4697194826	670.9944129142	702.7714752885	615.6012998053	740.0109721811	615.5777684931	702.7773549905
2133.54	846.061	670.4875472259	805.8509194589	670.479713512	702.20057591	615.1049008707	739.401472625	615.0813688009	702.2057549432
2139.88	845.056	669.7373471312	804.9487194234	669.730004401	701.3671769754	614.3806025576	738.5138733353	614.3577693573	701.373054878
2146.24	844.05	668.9873370507	804.0455193879	668.9797153232	700.5337780408	613.6570041557	737.6249739568	613.6336799717	700.539654807
2152.61	843.045	668.2368369619	803.1423193524	668.2290062122	699.7010790175	612.9334958071	736.7363746671	612.9101705529	699.706254736
2159	842.039	667.4858468648	802.2391193168	667.4787171343	698.8673799941	612.2101074407	735.8477753773	612.1867811732	698.8732546768
2163.38	841.349	666.9718468056	801.6193192932	666.9640178268	698.2967807044	611.7142186304	735.23857591	611.6914715058	698.3026546294
2169.78	840.345	666.2216467109	800.7161192576	666.2143087159	697.4643817698	610.9917102817	734.3509766203	610.9690821261	697.4702545584
2176.2	839.339	665.4716366304	799.8129192221	665.4638095741	696.6316827464	610.2693219154	733.4630772418	610.2467826765	696.6375544933
2182.64	838.333	664.7213465392	798.9087191866	664.7135204963	695.7992838118	609.547513478	732.5754779521	609.5247631998	695.8051544222
2189.09	837.328	663.9708464504	798.0045191511	663.9630214492	694.9675847884	608.8254252004	731.6878786623	608.8026738141	694.9727543512
2193.51	836.639	663.4564463794	797.3847191274	663.4491120778	694.3969854987	608.3310262658	731.0793791062	608.3084841858	694.4028543097
2199.98	835.634	662.7066462965	796.4812190978	662.699122994	693.5655865641	607.6105179171	730.1927798165	607.5879747671	693.5714542387
2206.46	834.629	661.9564462018	795.5763190564	661.9493238582	692.7338875407	606.8894296395	729.3051805268	606.8673753234	692.7397541736
2212.95	833.624	661.2066461189	794.6718190268	661.198914836	691.9024886061	606.1688312376	728.4185812371	606.1467758798	691.9083541025
2219.46	832.618	660.4564460242	793.7669189853	660.4486257581	691.0707895827	605.448322889	727.5316818585	605.4264764302	691.0766540374
2223.94	831.929	659.9419559567	793.1468189676	659.9346263619	690.501190293	604.9551339899	726.9234823912	604.9330768327	690.5070539901
2230.47	830.924	659.1922458702	792.241618932	659.1844273089	689.6704912696	604.235535588	726.0368831015	604.2137773832	689.6763539249
2237.01	829.919	658.4427457814	791.3364188965	658.4349282618	688.840092335	603.5162372749	725.150983723	603.4944780283	688.845253848
2243.57	828.915	657.6924556903	790.431218861	657.684639184	688.0093933116	602.7974288375	724.264684522	602.7751785788	688.0145537829
2250.15	827.91	656.9427456038	789.5260188255	656.934930073	687.178994377	602.0786406487	723.3787851435	602.0567891043	687.1841537118
2254.66	827.221	656.4282555363	788.9052188018	656.4209306767	686.6093950873	601.5860316786	722.7712855875	601.5644795317	686.6152536704
2261.25	826.216	655.6787554476	788.0000187663	655.6712416818	685.7799961527	600.867943401	721.8856862977	600.846880088	685.7858535993
2267.87	825.211	654.9290453611	787.0938187308	654.9214425459	684.9495972181	600.1503449991	721.000087008	600.1288807273	684.9554535283
2274.49	824.206	654.1792652617	786.1876186952	654.1714535569	684.1198981947	599.4328366505	720.1144877183	599.4114912529	684.1257534632
2281.13	823.201	653.4295551752	785.2814186597	653.4217444459	683.2901991714	598.7154482841	719.2288884285	598.6939818341	683.2953533921
2285.69	822.512	652.915555116	784.660318642	652.9078350745	682.7215998816	598.2243494383	718.6223888724	598.2028822306	682.7274533507
2292.35	821.508	652.1656550154	783.7541186064	652.1583360274	681.892200947	597.5078410897	717.7367895827	597.4867028202	681.8980532797
2299.03	820.503	651.415944929	782.8469185709	651.4081369744	681.0628020124	596.7912426878	716.852190293	596.7701934014	681.0686532086
2305.73	819.498	650.6663548437	781.9404185413	650.6588478966	680.2341029891	596.0751544102	715.9672909145	596.0543838938	680.2392531376
2312.43	818.493	649.916154749	781.0332185058	649.9086488436	679.4047040545	595.3591561859	715.0819917135	595.3383845331	679.4108530665
2317.04	817.805	649.4026646815	780.4117184762	649.3953494533	678.8371047647	594.8689672868	714.4764921574	594.8482849296	678.8429530251
2323.77	816.801	648.6532545892	779.5045184407	648.6461504003	678.0087058301	594.1542489026	713.5918928677	594.133685486	678.0145529541
2330.51	815.796	647.903964498	778.5970184111	647.8961614112	677.1803068955	593.439160625	712.707293578	593.4185961004	677.186152883
2337.27	814.791	647.1542544116	777.6898183756	647.1464523002	676.3519079609	592.7245622231	711.8233941995	592.7042966508	676.357752812
2344.05	813.786	646.4047543228	776.78161834	646.3969532532	675.5242089376	592.01026391	710.9390949985	591.9906972072	675.5300527469
2348.7	813.099	645.89184426	776.1598183164	645.8840438818	674.9576096478	591.5221650642	710.3345954424	591.5015976037	674.9634526995
2355.49	812.095	645.1425541688	775.2526182808	645.1347548039	674.1302107132	590.8086567156	709.4509961527	590.7882981542	674.1360526285
2362.31	811.09	644.3931440765	774.3444182453	644.3855557509	673.3025116898	590.0952683492	708.567396863	590.0752087685	673.3083525633
2369.14	810.085	643.6438539853	773.4359182157	643.6360567039	672.4751127553	589.3822701249	707.6837975732	589.3626993498	672.4809524923
2375.98	809.081	642.8943538965	772.5277181802	642.8868576509	671.6477138207	588.669671723	706.8008981947	588.6500999061	671.6535524213
